direction_color,rowDate,rowDateRaw,rowDateTimestamp,last_close,last_open,last_max,last_min,volume,volumeRaw,change_precent,last_closeRaw,last_openRaw,last_maxRaw,last_minRaw,change_precentRaw
greenFont,"Nov 24, 2024",1732406400,2024-11-24T00:00:00Z,1.4002,1.3964,1.4178,1.3928,,0,0.16,1.40024995803833,1.39635002613068,1.41779994964600,1.39275002479553,0.1609410678047499
redFont,"Nov 17, 2024",1731801600,2024-11-17T00:00:00Z,1.3980,1.4053,1.4059,1.3944,,0,-0.77,1.39800000190735,1.40530002117157,1.40590000152588,1.39440000057220,-0.7666101618471151
greenFont,"Nov 10, 2024",1731196800,2024-11-10T00:00:00Z,1.4088,1.3917,1.4099,1.3909,,0,1.29,1.40880000591278,1.39170002937317,1.40989995002747,1.39090001583099,1.2942196351448167
redFont,"Nov 03, 2024",1730592000,2024-11-03T00:00:00Z,1.3908,1.3923,1.3949,1.3825,,0,-0.30,1.39079999923706,1.39230000972748,1.39489996433258,1.38250005245209,-0.30107396034947
greenFont,"Oct 27, 2024",1729987200,2024-10-27T00:00:00Z,1.3950,1.3891,1.3958,1.3882,,0,0.42,1.39499998092651,1.38909995555878,1.39579999446869,1.38820004463196,0.424737280000602
greenFont,"Oct 20, 2024",1729382400,2024-10-20T00:00:00Z,1.3891,1.3817,1.3895,1.3808,,0,0.66,1.38909995555878,1.38170003890991,1.38950002193451,1.38080000877380,0.6594174172893807
greenFont,"Oct 13, 2024",1728777600,2024-10-13T00:00:00Z,1.3800,1.3777,1.3820,1.3749,,0,0.28,1.37999999523163,1.37769997119904,1.38199996948242,1.37489998340607,0.2761251730492242
greenFont,"Oct 06, 2024",1728172800,2024-10-06T00:00:00Z,1.3762,1.3567,1.3783,1.3565,,0,1.41,1.37619996070862,1.35669994354248,1.37829995155334,1.35650002956390,1.4074092292992508
greenFont,"Sep 29, 2024",1727568000,2024-09-29T00:00:00Z,1.3571,1.3514,1.3591,1.3470,,0,0.44,1.35710000991821,1.35140001773834,1.35909998416901,1.34700000286102,0.4366507870922427
redFont,"Sep 22, 2024",1726963200,2024-09-22T00:00:00Z,1.3512,1.3561,1.3582,1.3418,,0,-0.42,1.35119998455048,1.35609996318817,1.35819995403290,1.34179997444153,-0.4200746022271228
redFont,"Sep 15, 2024",1726358400,2024-09-15T00:00:00Z,1.3569,1.3591,1.3647,1.3530,,0,-0.12,1.35689997673035,1.35909998416901,1.36469995975494,1.35300004482269,-0.11777895324674319
greenFont,"Sep 08, 2024",1725753600,2024-09-08T00:00:00Z,1.3585,1.3570,1.3622,1.3543,,0,0.10,1.35850000381470,1.35699999332428,1.36220002174377,1.35430002212524,0.10316070195698408
greenFont,"Sep 01, 2024",1725148800,2024-09-01T00:00:00Z,1.3571,1.3488,1.3582,1.3464,,0,0.58,1.35710000991821,1.34879994392395,1.35819995403290,1.34640002250671,0.5780762520658439
redFont,"Aug 25, 2024",1724544000,2024-08-25T00:00:00Z,1.3493,1.3505,1.3516,1.3438,,0,-0.10,1.34930002689362,1.35049998760223,1.35160005092621,1.34379994869232,-0.10364950580671653
redFont,"Aug 18, 2024",1723939200,2024-08-18T00:00:00Z,1.3507,1.3694,1.3694,1.3496,,0,-1.24,1.35070002079010,1.36940002441406,1.36940002441406,1.34959995746613,-1.2357373351025427
redFont,"Aug 11, 2024",1723334400,2024-08-11T00:00:00Z,1.3676,1.3729,1.3747,1.3676,,0,-0.39,1.36759996414185,1.37290000915527,1.37469995021820,1.36759996414185,-0.38604741627769695
redFont,"Aug 04, 2024",1722729600,2024-08-04T00:00:00Z,1.3729,1.3871,1.3946,1.3716,,0,-1.03,1.37290000915527,1.38709998130798,1.39460003376007,1.37160003185272,-1.030852708209203
