Date,Value,Series,labels
1983-01-01T00:00:00,15.3,15 to 24 years,1983-01-01T00:00:00
1983-02-01T00:00:00,15.9,15 to 24 years,1983-02-01T00:00:00
1983-03-01T00:00:00,16.7,15 to 24 years,1983-03-01T00:00:00
1983-04-01T00:00:00,15.8,15 to 24 years,1983-04-01T00:00:00
1983-05-01T00:00:00,17,15 to 24 years,1983-05-01T00:00:00
1983-06-01T00:00:00,16.3,15 to 24 years,1983-06-01T00:00:00
1983-07-01T00:00:00,15.1,15 to 24 years,1983-07-01T00:00:00
1983-08-01T00:00:00,15.4,15 to 24 years,1983-08-01T00:00:00
1983-09-01T00:00:00,14.8,15 to 24 years,1983-09-01T00:00:00
1983-10-01T00:00:00,14.7,15 to 24 years,1983-10-01T00:00:00
1983-11-01T00:00:00,15.7,15 to 24 years,1983-11-01T00:00:00
1983-12-01T00:00:00,16.9,15 to 24 years,1983-12-01T00:00:00
1984-01-01T00:00:00,16.2,15 to 24 years,1984-01-01T00:00:00
1984-02-01T00:00:00,15.5,15 to 24 years,1984-02-01T00:00:00
1984-03-01T00:00:00,16.1,15 to 24 years,1984-03-01T00:00:00
1984-04-01T00:00:00,16.3,15 to 24 years,1984-04-01T00:00:00
1984-05-01T00:00:00,16.3,15 to 24 years,1984-05-01T00:00:00
1984-06-01T00:00:00,15.7,15 to 24 years,1984-06-01T00:00:00
1984-07-01T00:00:00,16.2,15 to 24 years,1984-07-01T00:00:00
1984-08-01T00:00:00,15.3,15 to 24 years,1984-08-01T00:00:00
1984-09-01T00:00:00,15.4,15 to 24 years,1984-09-01T00:00:00
1984-10-01T00:00:00,15.7,15 to 24 years,1984-10-01T00:00:00
1984-11-01T00:00:00,15.7,15 to 24 years,1984-11-01T00:00:00
1984-12-01T00:00:00,16.4,15 to 24 years,1984-12-01T00:00:00
1985-01-01T00:00:00,13.9,15 to 24 years,1985-01-01T00:00:00
1985-02-01T00:00:00,15.2,15 to 24 years,1985-02-01T00:00:00
1985-03-01T00:00:00,15.6,15 to 24 years,1985-03-01T00:00:00
1985-04-01T00:00:00,14.2,15 to 24 years,1985-04-01T00:00:00
1985-05-01T00:00:00,14.3,15 to 24 years,1985-05-01T00:00:00
1985-06-01T00:00:00,14.2,15 to 24 years,1985-06-01T00:00:00
1985-07-01T00:00:00,13.6,15 to 24 years,1985-07-01T00:00:00
1985-08-01T00:00:00,13.7,15 to 24 years,1985-08-01T00:00:00
1985-09-01T00:00:00,14.2,15 to 24 years,1985-09-01T00:00:00
1985-10-01T00:00:00,13.8,15 to 24 years,1985-10-01T00:00:00
1985-11-01T00:00:00,14.8,15 to 24 years,1985-11-01T00:00:00
1985-12-01T00:00:00,13.4,15 to 24 years,1985-12-01T00:00:00
1986-01-01T00:00:00,13,15 to 24 years,1986-01-01T00:00:00
1986-02-01T00:00:00,13.7,15 to 24 years,1986-02-01T00:00:00
1986-03-01T00:00:00,14.7,15 to 24 years,1986-03-01T00:00:00
1986-04-01T00:00:00,14.7,15 to 24 years,1986-04-01T00:00:00
1986-05-01T00:00:00,14.7,15 to 24 years,1986-05-01T00:00:00
1986-06-01T00:00:00,14.9,15 to 24 years,1986-06-01T00:00:00
1986-07-01T00:00:00,13.9,15 to 24 years,1986-07-01T00:00:00
1986-08-01T00:00:00,14.5,15 to 24 years,1986-08-01T00:00:00
1986-09-01T00:00:00,14.2,15 to 24 years,1986-09-01T00:00:00
