Date,Value,labels
1986-04-01T00:00:00,0.02768729641693811,1986-04-01T00:00:00
1986-05-01T00:00:00,0.03420195439739414,1986-05-01T00:00:00
1986-06-01T00:00:00,0.02912621359223301,1986-06-01T00:00:00
1986-07-01T00:00:00,0.033925686591276254,1986-07-01T00:00:00
1986-08-01T00:00:00,0.038834951456310676,1986-08-01T00:00:00
1986-09-01T00:00:00,0.03715670436187399,1986-09-01T00:00:00
1986-10-01T00:00:00,0.037096774193548385,1986-10-01T00:00:00
1986-11-01T00:00:00,0.03376205787781351,1986-11-01T00:00:00
1986-12-01T00:00:00,0.033707865168539325,1986-12-01T00:00:00
1987-01-01T00:00:00,0.03194888178913738,1987-01-01T00:00:00
1987-02-01T00:00:00,0.028616852146263912,1987-02-01T00:00:00
1987-03-01T00:00:00,0.028526148969889066,1987-03-01T00:00:00
1987-04-01T00:00:00,0.03803486529318542,1987-04-01T00:00:00
1987-05-01T00:00:00,0.04094488188976378,1987-05-01T00:00:00
1987-06-01T00:00:00,0.04716981132075472,1987-06-01T00:00:00
1987-07-01T00:00:00,0.0484375,1987-07-01T00:00:00
1987-08-01T00:00:00,0.045171339563862926,1987-08-01T00:00:00
1987-09-01T00:00:00,0.04205607476635514,1987-09-01T00:00:00
1987-10-01T00:00:00,0.041990668740279936,1987-10-01T00:00:00
1987-11-01T00:00:00,0.04510108864696734,1987-11-01T00:00:00
1987-12-01T00:00:00,0.04503105590062112,1987-12-01T00:00:00
1988-01-01T00:00:00,0.04024767801857585,1988-01-01T00:00:00
1988-02-01T00:00:00,0.03863987635239567,1988-02-01T00:00:00
1988-03-01T00:00:00,0.04314329738058552,1988-03-01T00:00:00
1988-04-01T00:00:00,0.03969465648854962,1988-04-01T00:00:00
1988-05-01T00:00:00,0.03177004538577912,1988-05-01T00:00:00
1988-06-01T00:00:00,0.02252252252252252,1988-06-01T00:00:00
1988-07-01T00:00:00,0.019374068554396422,1988-07-01T00:00:00
1988-08-01T00:00:00,0.01788375558867362,1988-08-01T00:00:00
1988-09-01T00:00:00,0.02242152466367713,1988-09-01T00:00:00
1988-10-01T00:00:00,0.020895522388059702,1988-10-01T00:00:00
1988-11-01T00:00:00,0.017857142857142856,1988-11-01T00:00:00
