Date,GeoID,GeoName,Type,Value
1969-04-01T00:00:00,48,Alberta,International,1896
1969-04-01T00:00:00,48,Alberta,Interprovincial,1468
1969-07-01T00:00:00,48,Alberta,Total migration,4829
1969-07-01T00:00:00,48,Alberta,International,2335
1969-07-01T00:00:00,48,Alberta,Interprovincial,2494
1969-10-01T00:00:00,48,Alberta,Total migration,3910
1969-10-01T00:00:00,48,Alberta,International,1966
1969-10-01T00:00:00,48,Alberta,Interprovincial,1944
1970-01-01T00:00:00,48,Alberta,Total migration,4908
1970-01-01T00:00:00,48,Alberta,International,1491
1970-01-01T00:00:00,48,Alberta,Interprovincial,3417
1970-04-01T00:00:00,48,Alberta,Interprovincial,573
1970-04-01T00:00:00,48,Alberta,International,1924
1970-04-01T00:00:00,48,Alberta,Total migration,2497
1970-07-01T00:00:00,48,Alberta,Total migration,4774
1970-07-01T00:00:00,48,Alberta,International,1931
1970-07-01T00:00:00,48,Alberta,Interprovincial,2843
1970-10-01T00:00:00,48,Alberta,Total migration,4727
1970-10-01T00:00:00,48,Alberta,International,1662
1970-10-01T00:00:00,48,Alberta,Interprovincial,3065
1971-01-01T00:00:00,48,Alberta,Total migration,2569
1971-01-01T00:00:00,48,Alberta,International,1366
1971-01-01T00:00:00,48,Alberta,Interprovincial,1203
1971-04-01T00:00:00,48,Alberta,Total migration,408
1971-04-01T00:00:00,48,Alberta,International,1313
1971-04-01T00:00:00,48,Alberta,Interprovincial,-905
1971-07-01T00:00:00,48,Alberta,Total migration,4698
1971-07-01T00:00:00,48,Alberta,International,1886
1971-07-01T00:00:00,48,Alberta,Interprovincial,2812
1971-10-01T00:00:00,48,Alberta,Total migration,-47
1971-10-01T00:00:00,48,Alberta,International,655
1971-10-01T00:00:00,48,Alberta,Interprovincial,-702
1972-01-01T00:00:00,48,Alberta,Interprovincial,1229
1972-01-01T00:00:00,48,Alberta,International,1022
1972-01-01T00:00:00,48,Alberta,Total migration,2251
1972-04-01T00:00:00,48,Alberta,Interprovincial,851
1972-04-01T00:00:00,48,Alberta,International,1635
1972-04-01T00:00:00,48,Alberta,Total migration,2486
1972-07-01T00:00:00,48,Alberta,Interprovincial,4715
1972-07-01T00:00:00,48,Alberta,International,1689
1972-07-01T00:00:00,48,Alberta,Total migration,6404
1972-10-01T00:00:00,48,Alberta,Interprovincial,-257
1972-10-01T00:00:00,48,Alberta,International,1027
1972-10-01T00:00:00,48,Alberta,Total migration,770
1973-01-01T00:00:00,48,Alberta,Total migration,2507
1973-01-01T00:00:00,48,Alberta,International,1158
1973-01-01T00:00:00,48,Alberta,Interprovincial,1349
1973-04-01T00:00:00,48,Alberta,Total migration,2323
1973-04-01T00:00:00,48,Alberta,International,2632
1973-04-01T00:00:00,48,Alberta,Interprovincial,-309
1973-07-01T00:00:00,48,Alberta,Interprovincial,3705
1973-07-01T00:00:00,48,Alberta,International,1591
1973-07-01T00:00:00,48,Alberta,Total migration,5296
1973-10-01T00:00:00,48,Alberta,Interprovincial,-2047
1973-10-01T00:00:00,48,Alberta,International,2086
1973-10-01T00:00:00,48,Alberta,Total migration,39
1974-01-01T00:00:00,48,Alberta,Interprovincial,720
1974-01-01T00:00:00,48,Alberta,International,1764
1974-01-01T00:00:00,48,Alberta,Total migration,2484
1974-04-01T00:00:00,48,Alberta,Total migration,2888
1974-04-01T00:00:00,48,Alberta,International,2355
1974-04-01T00:00:00,48,Alberta,Interprovincial,533
1974-07-01T00:00:00,48,Alberta,Total migration,10201
1974-07-01T00:00:00,48,Alberta,International,3219
1974-07-01T00:00:00,48,Alberta,Interprovincial,6982
1974-10-01T00:00:00,48,Alberta,Total migration,8112
1974-10-01T00:00:00,48,Alberta,International,1537
1974-10-01T00:00:00,48,Alberta,Interprovincial,6575
